Brand,Device,Buttplug-C#,Buttplug-JS,Win7,Win8,Win10 14939,Win10 15063,macOS,Linux,Android,ChromeOS,iOS,Notes
Cueme,Cueme 1 Women's Underwear,1,0,,,,buttplug-c#,,,,,,
Chastitysteel,BT Fun ESTIM,0,0,,,,,,,,,,
British Condoms,i.Con Smart Condom,0,0,,,,,,,,,,
Orgasmatronics,Ambrosia,0,0,,,,,,,,,,
LiBo,ELLE (aka Whale),1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
LiBo,G Spot Vibrator,0,0,,,,,,,,,,
LiBo,Analplug Prostata Vibrator,0,0,,,,,,,,,,
Youou,Compact Power Wand Massager,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Cunni,Cunni,0,0,,,,,,,,,,
Louviva,Belle,0,0,,,,,,,,,,
Myhixel,Myhixel,0,0,,,,,,,,,,
JoyOn,Kehel,0,0,,,,,,,,,,
UmiBaby,Smart Vibrator,0,0,,,,,,,,,,
UmiBaby,Monster Vibrator Egg,0,0,,,,,,,,,,
OmySky,Wolf Warrior,0,0,,,,,,,,,,
LiBo,Lala,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
LiBo,Lara,0,0,,,,,,,,,,
LiBo,Lulu,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
LiBo,Karen,0,0,,,,,,,,,,
LiBo,Lottie,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
LiBo,ELLE II,0,0,,,,,,,,,,
LiBo,Lolita,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
LiBo,Lily,0,0,,,,,,,,,,
LiBo,Lina,0,0,,,,,,,,,,
LiBo,Lucy II,0,0,,,,,,,,,,
LiBo,Lucy,0,0,,,,,,,,,,
LiBo,Selina,0,0,,,,,,,,,,
LiBo,Carlos,1,0,,,,buttplug-c#,,,,,,
LiBo,Shark,1,0,,,,buttplug-c#,,,,,,
ManNuo,Tani,0,0,,,,,,,,,,
Pretty Love,Abner,1,0,,,,buttplug-c#,,,,,,
Pretty Love,Fancy Clamshell,0,0,,,,,,,,,,
Pretty Love,August,1,0,,,,buttplug-c#,,,,,,
Pretty Love,Love Boat,1,0,,,,buttplug-c#,,,,,,
VirgenX,VirgenX,0,0,,,,,,,,,,
TheHandy,The Handy,0,0,,,,,,,,,,
Sistalk,MonsterPub 1S Youth Doctor Whale,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Sistalk,MonsterPub 1S Youth Mister Devil,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Sistalk,MonsterPub 1S Youth Master Godzilla,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Sistalk,MonsterPub 2 Health Doctor Whale,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Sistalk,MonsterPub 2 Health Mister Devil,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
Sistalk,MonsterPub 2 Health Master Godzilla,1,1,,,,buttplug-c#,buttplug-js,buttplug-js,buttplug-js,buttplug-js,,
QIUI,Bluetooth chastity lock,0,0,,,,,,,,,,
QIUI,Wearable chastity lock,0,0,,,,,,,,,,
Aneros,Vivi,0,0,,,,,,,,,,
Lovely,Lovely v1,0,0,,,,,,,,,,
Lovely,Lovely v2,0,0,,,,,,,,,,
Qeasy,Qeasy,0,0,,,,,,,,,,
iLuv,SmartShaker 2,0,0,,,,,,,,,,
Realov,LYDIA I,0,0,,,,,,,,,,
Realov,IRENA I,0,0,,,,,,,,,,
Zalo,Lolita Baby Heart,0,0,,,,,,,,,,
Zalo,Lolita Baby Star,0,0,,,,,,,,,,
Zalo,Lolita Ichigo,0,0,,,,,,,,,,
Zalo,Lolita Momoko,0,0,,,,,,,,,,
Zalo,Versailles Rosalie,0,0,,,,,,,,,,
Zalo,Versailles Marie,0,0,,,,,,,,,,
Zalo,Versailles Fanfan,0,0,,,,,,,,,,
Zalo,Versailles Jeanne,0,0,,,,,,,,,,
Zalo,Legend Queen,0,0,,,,,,,,,,
Fetish Engineer,DLab Electro Power Box,0,0,,,,,,,,,,
LovaAI,Dolp,0,0,,,,,,,,,,
YoY,Phallus,0,0,,,,,,,,,,
Bfaccia,Electric high speed sex machine,,,,,,,,,,,,
